date,sales_in,stores,pro,offtake
7/13/2020,4170,19336,RSP,5.52
7/20/2020,35,21440,2for,8.24
7/27/2020,256,24646,2for,11.91
8/3/2020,756,23780,2for,11.18
8/10/2020,452,23017,2for,10.28
8/17/2020,467,21822,2for,9.21
8/24/2020,178,19460,RSP,6.44
8/31/2020,338,19246,RSP,6.46
9/7/2020,192,18617,RSP,6.20
9/14/2020,280,18617,RSP,6.20
9/21/2020,479,18617,point,6.20
9/28/2020,623,18189,point,8.12
10/5/2020,353,18189,point,8.12
10/12/2020,261,18189,point,8.12
10/19/2020,295,18189,point,8.12
10/26/2020,139,13419,RSP,5.47
11/2/2020,110,13419,RSP,5.47
11/9/2020,171,13419,RSP,5.47
11/16/2020,304,13169,RSP,5.42
11/23/2020,431,13266,2nd_haft,5.56
11/30/2020,336,15893,2nd_haft,8.04
12/7/2020,149,18311,2nd_haft,12.51
12/14/2020,285,14051,2nd_haft,7.70
12/21/2020,243,13669,2nd_haft,8.09
12/28/2020,409,13686,2nd_haft,7.95
1/4/2021,161,10270,RSP,5.01
1/11/2021,20,10136,RSP,4.96
1/18/2021,4170,9893,RSP,4.96
1/25/2021,2037,13582,RSP,4.96
2/1/2021,3867,27839,BOGO,52.39
2/8/2021,35,23963,BOGO,2.70
2/15/2021,8,13516,RSP,5.13
2/22/2021,0,13426,RSP,5.10
3/1/2021,15,13079,RSP,4.96
3/8/2021,1485,12571,RSP,4.88
3/15/2021,511,14291,RSP,5.01
3/22/2021,2452,23158,buy2+1,19.20
3/29/2021,35,21593,buy2+1,13.73
4/5/2021,20,16340,RSP,5.47
4/12/2021,0,15805,RSP,5.44
4/19/2021,0,14986,BOGO,5.27
4/26/2021,0,22915,BOGO,16.65
5/3/2021,20,13740,RSP,5.39
5/10/2021,15,13740,RSP,5.13
5/17/2021,25,13482,RSP,5.32
5/24/2021,66,12974,2for,13.34
5/31/2021,100,18160,2for,8.89
6/7/2021,83,17562,2for,8.29
6/14/2021,90,16469,2for,8.26
6/21/2021,132,13487,2for,7.17
6/28/2021,103,15839,RSP,7.90
7/5/2021,61,15266,RSP,7.78
7/12/2021,37,14865,RSP,7.61
7/19/2021,42,15322,RSP,7.78
7/26/2021,47,15152,RSP,7.73
8/2/2021,122,9305,RSP,7.58
8/9/2021,83,8736,RSP,7.12
8/16/2021,664,8245,RSP,7.10
8/23/2021,734,12734,BOGO,20.00
8/30/2021,946,10673,BOGO,21.92
9/6/2021,637,9827,BOGO,23.47
9/13/2021,725,10299,BOGO,24.23
9/20/2021,504,9694,BOGO,16.04
9/27/2021,56,7706,RSP,6.88
10/4/2021,13,7495,RSP,6.39
10/11/2021,15,7383,RSP,6.20
10/18/2021,103,7798,RSP,6.97
10/25/2021,243,9191,2for,10.84
11/1/2021,219,9142,2for,11.15
11/8/2021,467,8843,2for,10.79
11/15/2021,4331,11679,2for,10.72
11/22/2021,134,13745,2for,11.74
11/29/2021,0,13582,RSP,10.81
12/6/2021,18,13001,RSP,11.08
12/13/2021,0,13443,RSP,11.20
12/20/2021,20,13093,RSP,7.24
12/27/2021,27,13383,RSP,8.07
1/3/2022,54,12792,RSP,7.17
1/10/2022,73,12765,RSP,6.80
1/17/2022,66,12743,RSP,6.66
1/24/2022,105,14313,2for,10.25
1/31/2022,195,13975,2for,10.25
2/7/2022,146,13084,2for,9.38
2/14/2022,207,12914,2for,9.36
2/21/2022,231,12267,2for,7.65
2/28/2022,103,11643,RSP,6.56
3/7/2022,112,11356,RSP,6.66
3/14/2022,132,11261,RSP,6.66
3/21/2022,192,11322,RSP,6.80
3/28/2022,178,11222,RSP,7.17
4/4/2022,931,10768,RSP,7.51
4/11/2022,234,11917,RSP,7.58
4/18/2022,0,12843,3for,8.24
4/25/2022,265,13234,3for,11.40
5/2/2022,324,12109,3for,10.81
5/9/2022,236,11008,RSP,8.87
5/16/2022,268,10340,RSP,7.90
5/23/2022,110,9968,RSP,7.14
5/30/2022,0,10440,RSP,7.97
6/6/2022,0,8457,RSP,5.86
6/13/2022,0,7587,RSP,5.52
6/20/2022,32,7011,RSP,5.49
6/27/2022,149,6865,RSP,5.81
7/4/2022,161,7468,RSP,6.37
7/11/2022,253,7616,RSP,7.07
7/18/2022,107,8933,RSP,11.23
7/25/2022,246,8454,2for,10.76
8/1/2022,329,8333,2for,10.25
8/8/2022,195,8095,2for,10.11
8/15/2022,256,7395,2for,7.29
8/22/2022,163,7167,RSP,6.37
8/29/2022,52,7553,RSP,7.92
9/5/2022,120,7371,RSP,7.19
9/12/2022,73,6809,RSP,6.29
9/19/2022,93,6812,RSP,6.37
9/26/2022,129,7023,RSP,6.37
